origin_city,pct_same_day,pct_4hr,shipments_per_day,avg_distance_km,cur_delivery_time_hr,cur_cost_aed,delay_rate_pct,delay_churn_pct
dubai,21.8,34.8,19,55.3,1.3,28.69,49.7,19.4
ras al khaimah,66.3,10.3,190,66.0,1.4,28.68,44.0,17.2
ajman,76.7,30.2,105,147.8,3.2,69.51,51.9,26.8
sharjah,16.7,80.7,198,17.2,0.3,6.63,56.9,22.2
sharjah,4.4,49.3,83,21.2,0.7,9.64,33.9,13.3
al ain,44.0,17.2,166,68.1,2.0,29.71,44.7,21.0
dubai,77.4,31.3,66,29.5,0.7,13.19,29.4,18.1
ras al khaimah,65.1,95.4,89,104.3,3.0,41.01,47.1,19.4
abu dhabi,70.2,43.2,70,57.3,1.7,29.56,32.2,12.9
dubai,40.3,44.2,109,127.7,2.9,47.81,44.2,22.1
ajman,23.5,15.3,45,113.5,2.8,56.82,16.5,7.3
al ain,53.2,30.5,101,73.3,2.1,38.84,41.2,28.5
ras al khaimah,20.4,81.5,168,127.5,4.2,48.34,34.7,21.6
ras al khaimah,72.6,78.6,31,19.6,0.4,8.59,15.0,6.9
ras al khaimah,19.7,43.5,158,89.3,2.9,41.55,41.1,14.3
ras al khaimah,29.1,89.4,171,92.7,2.7,49.91,22.2,8.6
ajman,50.7,38.0,7,40.7,1.1,20.99,37.7,23.1
dubai,48.7,86.4,135,12.2,0.3,5.3,39.5,19.1
al ain,60.1,3.2,97,82.6,2.3,44.13,40.3,15.2
sharjah,43.7,34.7,127,79.5,2.0,33.36,41.0,22.5
ajman,91.9,85.5,59,99.8,2.3,42.04,25.0,13.9
sharjah,84.0,90.1,44,35.9,1.2,16.2,37.5,16.2
abu dhabi,87.9,75.6,58,31.0,0.8,15.51,54.4,19.5
al ain,63.0,67.0,31,146.8,3.1,57.93,4.1,2.2
ras al khaimah,63.5,81.6,81,21.5,0.5,10.61,47.0,24.7
ajman,60.9,70.8,174,149.9,3.4,54.04,7.7,3.7
sharjah,43.5,25.4,155,109.4,3.7,44.55,27.9,19.2
ras al khaimah,32.2,46.6,36,96.3,2.3,51.56,9.8,4.2
ajman,59.2,66.1,112,54.3,1.5,25.96,46.9,23.5
sharjah,2.6,58.8,15,130.8,4.1,57.98,2.2,1.2
sharjah,0.7,88.5,12,137.0,3.1,67.37,42.1,24.3
abu dhabi,85.2,47.4,125,109.7,2.9,48.09,24.1,15.4
dubai,4.6,17.8,61,107.9,3.2,40.92,15.9,6.2
ajman,52.5,21.5,141,76.5,2.5,34.39,57.6,37.1
al ain,61.5,84.6,32,16.3,0.5,8.67,17.5,6.0
dubai,19.8,0.9,24,149.9,3.2,61.32,12.7,4.1
al ain,89.6,86.9,143,7.3,0.2,2.7,25.9,16.8
ras al khaimah,19.0,5.6,42,76.8,1.9,37.9,18.1,7.8
abu dhabi,88.5,39.2,12,58.2,1.5,25.71,43.7,27.0
ajman,76.3,80.0,157,117.5,4.0,49.38,1.8,1.1
dubai,24.1,40.8,141,111.7,2.3,50.01,41.5,23.7
ras al khaimah,15.1,82.2,185,96.1,2.4,50.68,25.3,9.7
ras al khaimah,31.6,10.0,120,15.8,0.4,6.4,47.0,22.1
sharjah,39.8,51.2,95,39.3,0.8,15.57,20.0,12.5
dubai,24.6,58.2,134,18.7,0.5,8.53,1.1,0.4
al ain,99.9,89.1,158,147.0,3.2,65.18,45.8,23.0
sharjah,23.0,9.4,126,23.5,0.8,9.09,8.0,2.9
al ain,83.1,33.9,64,145.2,3.5,67.45,28.7,9.8
ras al khaimah,15.9,65.9,178,21.3,0.6,9.87,50.0,23.8
ras al khaimah,98.0,98.0,140,130.0,3.8,60.97,55.5,23.5
ras al khaimah,22.6,84.8,175,88.3,2.2,38.36,14.8,9.3
abu dhabi,42.2,84.6,111,125.6,3.2,51.77,50.3,24.9
sharjah,55.9,51.7,90,96.9,2.7,40.61,46.6,27.8
sharjah,12.0,56.4,168,116.5,3.7,59.44,55.4,31.3
sharjah,81.7,85.9,122,111.0,3.0,52.45,48.9,33.3
dubai,27.5,87.0,155,42.7,1.2,18.43,5.4,2.2
ajman,54.9,80.2,178,140.6,4.1,66.14,56.7,34.7
dubai,55.0,81.9,57,98.3,2.6,41.57,1.5,0.6
ras al khaimah,60.3,88.0,39,34.3,1.1,17.67,20.6,13.3
ras al khaimah,5.5,11.4,30,49.4,1.0,24.25,23.4,15.2
al ain,16.9,29.3,120,82.3,2.2,31.12,29.1,18.2
ras al khaimah,16.1,97.6,161,132.9,4.5,49.19,14.1,6.0
sharjah,30.2,54.5,195,120.5,3.5,44.1,7.4,2.7
al ain,14.5,17.6,7,48.8,1.3,17.81,50.2,32.0
sharjah,92.2,50.3,1,104.8,3.3,47.1,38.5,20.6
abu dhabi,51.3,64.6,136,5.2,0.1,2.04,28.5,13.7
al ain,62.4,82.8,54,53.2,1.4,25.61,46.5,21.6
sharjah,35.7,81.2,95,126.7,2.9,56.62,54.9,18.7
dubai,27.6,4.9,16,26.9,0.6,10.14,13.4,7.5
sharjah,50.3,45.4,15,56.2,1.1,20.29,19.4,9.9
ras al khaimah,29.4,2.1,106,5.2,0.2,1.91,56.1,38.4
abu dhabi,34.4,88.8,138,8.4,0.2,3.83,32.6,18.6
sharjah,45.3,17.4,177,26.2,0.9,12.2,16.9,11.6
dubai,50.6,62.5,97,19.8,0.4,8.39,9.5,3.4
ras al khaimah,98.4,57.1,129,76.0,1.8,28.44,59.3,34.0
sharjah,22.3,62.6,172,135.5,4.0,71.58,32.1,20.1
abu dhabi,48.8,56.3,86,17.3,0.4,7.49,51.7,28.1
abu dhabi,15.0,71.6,42,131.1,3.6,57.33,38.2,20.9
ajman,35.0,62.6,165,101.9,2.2,43.68,26.6,9.6
ras al khaimah,71.7,9.0,1,29.5,0.7,10.94,51.5,22.1
al ain,17.4,36.7,55,47.0,1.3,22.93,21.4,11.8
sharjah,58.1,54.7,26,33.2,0.9,15.92,46.1,22.6
dubai,41.7,32.5,129,119.4,2.8,46.52,27.2,17.5
ras al khaimah,5.2,76.0,54,110.1,2.6,44.96,53.8,32.9
ajman,93.3,31.8,69,49.1,1.2,22.51,30.2,15.5
ras al khaimah,41.4,82.9,130,12.9,0.3,5.52,19.5,10.6
dubai,78.4,14.7,59,29.5,1.0,15.92,43.5,24.5
abu dhabi,41.6,76.9,73,96.3,2.9,43.27,51.6,29.0
ras al khaimah,93.7,18.3,100,18.1,0.4,9.39,51.1,29.6
ras al khaimah,29.0,52.8,24,82.8,2.1,32.86,28.7,14.3
sharjah,41.2,32.1,187,93.9,2.1,43.21,26.4,9.2
ras al khaimah,75.9,63.7,196,104.7,2.5,43.76,9.0,6.1
al ain,34.4,21.3,142,23.2,0.8,12.25,2.4,0.7
sharjah,36.4,79.5,22,71.7,1.6,32.93,55.9,17.1
al ain,99.5,57.4,95,72.2,2.4,34.49,43.5,29.4
abu dhabi,55.6,95.7,71,126.1,4.1,47.12,34.6,17.2
abu dhabi,68.9,71.2,34,73.0,2.3,32.69,35.0,21.9
ras al khaimah,64.3,60.7,175,64.0,1.8,29.72,1.4,0.6
ajman,82.8,82.9,83,22.9,0.5,9.44,27.2,12.8
dubai,86.2,22.0,130,105.7,3.4,52.05,55.3,32.2
ras al khaimah,56.3,63.3,138,94.9,3.1,42.13,27.7,13.9
abu dhabi,29.5,39.0,64,109.0,3.0,50.25,34.8,23.0
ras al khaimah,2.3,74.4,70,100.2,2.1,42.58,22.6,13.0
dubai,61.4,2.4,194,131.9,3.0,63.55,6.3,3.2
ras al khaimah,82.5,42.8,165,132.2,2.8,50.05,19.4,12.3
ras al khaimah,45.1,65.2,100,49.6,1.1,22.38,5.1,2.6
ras al khaimah,16.5,46.1,107,31.4,0.9,16.37,34.7,14.6
ajman,28.8,23.8,2,139.3,4.6,56.05,58.9,20.5
sharjah,51.0,46.4,41,108.4,3.2,55.97,21.8,9.6
ras al khaimah,83.7,85.0,2,145.8,4.2,75.72,51.5,28.5
abu dhabi,17.2,20.7,161,77.1,2.4,30.95,2.6,1.8
ras al khaimah,61.2,36.7,188,144.5,4.3,54.12,30.3,18.1
ajman,75.3,99.0,33,22.8,0.6,11.35,39.3,21.5
sharjah,93.6,91.3,56,90.6,2.9,48.25,19.2,7.3
ajman,11.7,3.4,71,77.0,1.9,31.26,5.9,3.4
ajman,92.6,53.0,162,5.4,0.2,2.83,13.1,6.7
dubai,60.1,6.5,82,33.0,0.7,13.12,4.2,2.5
dubai,76.7,92.4,9,27.3,0.8,11.59,53.3,23.8
abu dhabi,5.4,44.2,117,13.8,0.4,7.17,0.3,0.1
dubai,50.6,41.8,30,142.5,3.8,59.1,4.2,2.1
sharjah,62.3,27.3,129,145.0,3.8,71.92,47.7,21.2
ras al khaimah,30.7,56.9,171,134.3,2.8,51.9,18.0,9.6
ajman,43.2,14.5,14,148.4,4.6,63.54,21.9,9.0
sharjah,55.4,79.9,198,125.4,3.2,66.38,18.4,6.1
al ain,55.3,49.1,132,140.2,3.8,56.18,53.4,19.8
ajman,4.2,56.6,11,33.7,1.1,16.39,55.7,27.7
dubai,43.9,84.1,44,42.2,1.2,22.18,55.7,18.2
ras al khaimah,21.4,18.5,34,130.0,4.3,65.17,18.4,8.4
ajman,91.7,17.5,176,74.5,1.6,39.53,12.0,6.8
ajman,97.7,42.1,144,109.0,2.6,57.76,49.7,25.1
ajman,30.0,78.6,75,86.5,2.0,32.91,50.9,26.5
ajman,17.5,5.9,106,49.3,1.6,23.09,21.3,12.6
dubai,22.0,79.5,70,46.3,1.5,20.23,34.7,12.1
ajman,47.8,50.1,81,113.5,3.7,54.81,23.4,9.5
ras al khaimah,87.5,56.2,127,82.2,2.3,40.58,0.9,0.4
abu dhabi,50.0,56.4,39,57.1,1.3,23.08,24.6,10.0
ajman,5.5,5.6,152,94.5,2.4,47.63,53.7,25.5
dubai,4.0,25.0,189,65.9,1.9,28.58,51.5,33.9
sharjah,22.7,75.5,194,73.9,1.5,35.34,6.2,2.1
sharjah,84.3,41.2,35,103.3,3.1,45.14,18.4,7.7
al ain,62.1,56.1,82,71.4,2.3,30.15,4.4,2.8
abu dhabi,56.3,94.5,53,142.7,3.6,69.2,17.9,9.4
abu dhabi,31.9,4.6,127,75.4,2.3,34.5,17.9,12.3
sharjah,92.9,45.0,65,144.5,3.9,74.2,3.2,1.2
al ain,33.1,36.1,79,127.9,2.6,64.14,53.7,32.3
al ain,83.5,10.6,28,134.2,3.3,69.29,50.4,32.0
dubai,89.6,95.1,112,115.7,3.2,57.6,55.7,38.1
abu dhabi,48.3,96.1,107,92.7,2.9,48.67,44.7,16.2
ras al khaimah,89.4,31.1,110,82.2,2.1,31.91,45.6,23.5
dubai,27.7,94.7,68,85.0,1.9,40.4,47.2,21.8
al ain,65.8,3.5,151,34.2,0.7,12.82,40.5,22.0
abu dhabi,8.8,98.1,121,36.1,1.1,16.24,10.6,3.5
